trial,cost,best_cost_so_far,is_best,safety_fail,fail_reason,min_distance,penetration_depth,force_jitter,velocity_spike,max_force,progress_error,arrival_jitter,final_error,error_at_stop,dynamic_tracking_error
0,16138.212566064614,16138.212566064614,True,False,,0.01909500707324529,0.0,0.13492070860644753,0.1306174040330424,7.3273703212173364,0.0,5.890155689780576e-16,3.393299350021126e-15,0.04483972849970436,0.03419191988077695
1,15852.060052145505,15852.060052145505,True,False,,0.018998984562047495,0.0,0.13403412572940565,0.11784542337510712,7.323628419983131,0.0,8.187720110105504e-16,5.514352771317003e-16,0.04326353914284156,0.034352215472405634
2,15873.131865560208,15852.060052145505,False,False,,0.019214569682130398,0.0,0.1377883459288391,0.12971931787672625,7.332433667134982,0.0,1.3212531916176931e-16,5.718478477751585e-16,0.0433679275877957,0.03407161888516701
3,15967.687955909225,15852.060052145505,False,False,,0.01909808832105019,0.0,0.13411764415719513,0.12978185926252506,7.318869371430188,0.0,9.457977129747755e-16,4.900918380800953e-15,0.04389370320953652,0.03415912413209535
4,15754.938797981467,15754.938797981467,True,False,,0.019285266994816176,0.0,0.06369354071796028,0.11703731446674559,2.9564872164227176,0.0,1.4724006285139833e-16,7.275667581979599e-16,0.04274732830834785,0.03382756254957774
5,15435.151993372532,15435.151993372532,True,False,,0.017857411911786837,0.0,0.13787363729847035,0.42592225919296345,7.324134646111509,0.0,7.139652375559309e-16,5.921947813728037e-16,0.040609274761503805,0.03340440259821662
6,15984.31654671349,15435.151993372532,False,False,,0.01901443957244239,0.0,0.08924949110207923,0.14181001682358996,5.244287346596918,0.0,5.1741069577803796e-17,7.297326834042833e-17,0.043985189142134826,0.0341580232093899
7,15543.49938234651,15435.151993372532,False,False,,0.018986992865741972,0.0,0.13369055637149063,0.24574006029465068,7.320839080799596,0.0,1.0681000519635007e-16,9.705498053981207e-17,0.041410122044832284,0.03384487439917812
8,16059.519604322239,15435.151993372532,False,False,,0.019071023332372535,0.0,0.13471313230657453,0.09989493869570698,7.318824115791199,0.0,6.419718559765023e-17,1.2882604340017235e-16,0.0444328905121049,0.03488466778887702
9,15817.969430904757,15435.151993372532,False,False,,0.01903965334231429,0.0,0.13643090435210825,0.17882860160019967,7.3381536201676445,0.0,9.947857946353071e-16,6.1098195902106105e-15,0.043006799224684505,0.03415830492368965
