trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,exploration_distance,trial_duration_sec
0,33.11042173807038,33.11042173807038,0.0,0.0,True,False,,0.0,4.676889660495946,0.13393354415893627,0.33666994906375247,0.0074178585155583315,0.007358313447379026,1.3877787807814457e-17,7.076311083754596e-18,2.3274073600769043,0.06696677207946777,3.4364046000302466e-18,0.3424358113523785,0.0,0.0,0.0,28.486263751983643
1,44.16261177839242,33.11042173807038,0.0,0.0,False,False,,0.0,4.716068884727856,0.21644428780605032,0.43460923470787005,0.010408784324022891,0.009794758756127963,2.647123918814165e-06,1.7554167342883506e-17,2.3433423042297363,0.10815596580505371,4.361979187436583e-16,0.6096397036952784,0.0,0.0,0.7373482617582026,28.059033155441284
2,28.397254987134104,28.397254987134104,4.713166750936274,0.142346925938339,True,False,,0.0,4.665020674832474,0.07078027725219802,0.29619730558834584,0.00626481471377871,0.006173680347803711,1.3877787807814457e-17,3.362321931872835e-17,2.3232498168945312,0.03539013862609863,1.0136227369433108e-17,0.3595196122102289,0.0,0.0,1.3159219746176036,26.217273950576782
3,37.258911990698074,28.397254987134104,0.0,0.0,False,False,,0.0,4.725988883011571,0.1457138061523452,0.3728613682378302,0.00845185456088189,0.008378352798697277,2.7755575615628914e-17,2.8710590662641146e-17,2.3504269123077393,0.07285690307617188,9.25185853854297e-18,0.3384223433503782,0.0,0.0,1.5188670095165995,25.102660417556763
4,47.97884941453487,28.397254987134104,0.0,0.0,False,False,,0.0,4.758510238520586,0.24751663208007882,0.4645541367083985,0.011139245653495554,0.011016251839625596,1.3877787807814457e-17,2.7755575615628914e-17,2.3627307415008545,0.12375831604003906,0.0,0.3382250361240173,0.0,0.0,1.3591620541714542,27.429853916168213
5,40.614541396321016,28.397254987134104,0.0,0.0,False,False,,0.0,4.683701438275913,0.2261948585510261,0.40113189804403493,0.009309376540876631,0.009195302118175184,1.3877787807814457e-17,7.076311083754596e-18,2.3280577659606934,0.1130974292755127,5.6315660669392e-18,0.34563301867276247,0.0,0.0,0.6859770128362885,26.960611820220947
6,1000000000.0,28.397254987134104,0.0,0.0,False,True,"Constraints violated: overshoot=0.0056, vel_ratio=0.00",0.14285714285714285,,,,,,,,,,,,,,0.8235541418725107,25.250035285949707
7,34.81771478522308,28.397254987134104,0.0,0.0,False,False,,0.125,4.662167030024682,0.05970574738523134,0.2996121804537876,0.006332607231127232,0.00628915013477336,0.00012129809894974308,3.0277758396689876e-17,2.3216497898101807,0.02682042121887207,1.0177044392397268e-17,0.3386296596673908,0.0,0.0,0.7526425708761977,28.16232204437256
8,42.54651223844485,28.397254987134104,0.0,0.0,False,False,,0.1111111111111111,4.665739196114421,0.06849187383733626,0.27736930434986407,0.00567885767435875,0.005640075462619519,0.000327919675843405,2.7755575615628914e-17,2.3244094848632812,0.026047945022583008,0.0,0.33819905756155655,0.0,0.0,0.9981956196260741,25.358811378479004
9,42.89052218454485,28.397254987134104,0.0,0.0,False,False,,0.1,4.6803682191872245,0.09932807984031672,0.3368727932779869,0.007427132252962775,0.007330508487212841,0.00019673425000457656,2.7755575615628914e-17,2.329188346862793,0.044745683670043945,0.0,0.4769031464575914,0.0,0.0,1.2072123669351116,28.12014627456665
