number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_i_clamp_ori,params_i_clamp_pos,params_i_gain_ori,params_i_gain_pos,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
0,10806762.74412098,2000-01-01 00:00:00.000000,2000-01-01 00:00:00.000000,0 days 00:00:00,24.691424506821164,68.13047017599905,0.0079589053732101,0.0204051929036373,116.00290365511322,1816.014101329536,2089.766365993793,341.1053504286575,0.3860757465489678,0.0553325368888051,0.7965583595372332,COMPLETE
1,9418153.925699197,2000-01-01 00:00:01.000000,2000-01-01 00:00:01.000000,0 days 00:00:00,42.46789304965721,11.819655769629314,0.0080317539293238,0.0489736804271726,105.70133630715011,1622.8664766147458,1142.072116395774,470.2386553170644,0.3272178244375729,0.0533605970555375,0.5609905097910785,COMPLETE
2,3599358.129438422,2000-01-01 00:00:02.000000,2000-01-01 00:00:02.000000,0 days 00:00:00,28.483174478753224,95.02020253446256,0.0046702732557221,0.0391632170928424,39.101117331508966,1004.92529798389,2279.8420426550474,147.3097703475733,0.4122116705145822,0.0466864568630402,0.6003473011863325,COMPLETE
3,4642213.93309735,2000-01-01 00:00:03.000000,2000-01-01 00:00:03.000000,0 days 00:00:00,35.681913459656755,94.93732706631616,0.0007902096219668,0.0354862974045087,58.07351491792756,911.1634309754362,2224.191445444843,347.05419883035086,0.107515920174542,0.0572749609379962,0.9318537978123298,COMPLETE
4,2033243.076618546,2000-01-01 00:00:04.000000,2000-01-01 00:00:04.000000,0 days 00:00:00,30.658854668804583,42.73396938483604,0.0022469922097293,0.0068981509159053,118.72112218651488,1045.6225728859445,1257.8525953097069,184.15302442953637,0.3682551478472637,0.0670099048291211,0.7207998456469287,COMPLETE
5,3360326.17632651,2000-01-01 00:00:05.000000,2000-01-01 00:00:05.000000,0 days 00:00:00,9.966881352393733,24.30726252809677,0.0038135066724774,0.0114359533606425,25.20012464834752,1415.7603020909648,1932.6215457126127,201.3166410159129,0.3612433301861594,0.0169696422706146,0.6710979144011219,COMPLETE
6,2083304.8080952596,2000-01-01 00:00:06.000000,2000-01-01 00:00:06.000000,0 days 00:00:00,48.95424896856517,52.17860814829314,0.0029715082332488,0.0038810140282073,91.3189937338132,1328.237383566578,1192.1968157879262,435.1779629995216,0.1388405103172245,0.0822783297549455,1.183521625509377,COMPLETE
7,5384489.610433387,2000-01-01 00:00:07.000000,2000-01-01 00:00:07.000000,0 days 00:00:00,36.16124537165089,15.773274671390592,0.0011206170054327,0.0271159065664015,39.192844003339,1263.2224721511775,1635.966358787952,147.49108758169763,0.218456079008858,0.0128994595601037,0.7899840961602689,COMPLETE
8,2724584.697611346,2000-01-01 00:00:08.000000,2000-01-01 00:00:08.000000,0 days 00:00:00,18.02327418262405,74.4694483706709,0.0083236122863301,0.0029651622169996,74.51642282910915,611.4253154120986,2334.8207599273637,227.42758098052943,0.4717184790304857,0.0580187030600617,0.5922585036830745,COMPLETE
9,2873232.218422024,2000-01-01 00:00:09.000000,2000-01-01 00:00:09.000000,0 days 00:00:00,30.92708004880266,32.387782916796226,0.0095369403128664,0.0127079183667496,72.94770963699608,1306.4712831621264,2470.38804424519,208.00318927686595,0.371126614718492,0.0014648521430621,1.1735319815822067,COMPLETE
10,5275354.739822554,2000-01-01 00:00:10.000000,2000-01-01 00:00:10.000000,0 days 00:00:00,30.32857805637892,96.02406169978308,0.0020068088754471,0.0202372056996992,90.24557289388612,1356.281885182062,1222.189307035294,160.4078440495384,0.3801595365266744,0.07618537742575,0.5435055158891127,COMPLETE
11,1587383.8901291783,2000-01-01 00:00:11.000000,2000-01-01 00:00:11.000000,0 days 00:00:00,47.88525579556036,50.40437563749475,0.0046882034470174,0.0030676087520232,67.12927793250869,1513.5508029643486,1310.4128370525714,378.116402598893,0.1178753531174309,0.0577108542375768,1.1089671925711313,COMPLETE
12,1844066.030973544,2000-01-01 00:00:12.000000,2000-01-01 00:00:12.000000,0 days 00:00:00,36.84562643380923,21.01855244495209,0.0072414084310624,0.0037810152564867,31.20139384099774,1625.9371600565255,1294.5389125558606,469.69926266004745,0.136024718354774,0.052275759419994,1.1143609182182916,COMPLETE
13,2036008.547418158,2000-01-01 00:00:13.000000,2000-01-01 00:00:13.000000,0 days 00:00:00,33.03966872256603,54.53100242603664,0.0059114149013408,0.004975885106785,16.499365974105167,1745.54249401316,1720.7767935704514,494.4428244720441,0.1200074905665865,0.0370967214033493,1.13394304800376,COMPLETE
14,6419768.876619377,2000-01-01 00:00:14.000000,2000-01-01 00:00:14.000000,0 days 00:00:00,39.13379850020868,67.09128899289608,0.0087593701516189,0.0204143422762544,54.60686065669765,1759.4556969622847,1236.5636981763523,312.87875322763296,0.2011783879730639,0.0368988713305736,1.0390670431718394,COMPLETE
