trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
0,10806762.74412098,10806762.74412098,0.0,0.0,True,False,,0.0,5.933012994189153,10.638754606603364,2.1103014264995905,46.9454223087455,0.06434991318224646,0.059501658565166815,0.040654328065648754,0.0003880410459022395,2.877254009246826,4.301202297210693,0.0007267217799077594,0.1573755423595291,0.0,0.0,3.1489589248306786,5.4384377275250175,0.0,13.33554744720459
1,9418153.925699195,9418153.925699195,1388608.8184217848,0.1284944299510236,True,False,,0.0,7.750537336266846,17.554606731921844,3.781767977486258,0.19533998042624046,0.11799276218693983,0.10626504831738276,0.08413278308567951,0.010292770052895276,3.7158710956573486,6.581390142440796,0.037037458551254836,0.16018797456580713,0.0,0.0,0.012458957602188523,0.02391707990218307,1.177939238503707,12.756527662277222
2,3599358.129438422,3599358.129438422,5818795.796260772,0.6178276382150751,True,False,,0.0,7.289087876817842,10.789400904961264,3.438906022559917,0.07183431310039695,0.10735867253600952,0.09664173428921544,0.025976235370741285,0.0008443001098305754,3.4995813369750977,4.74271821975708,0.0010305393820078486,0.17035134077918535,0.0,0.0,0.004583663830130605,0.008791250614838026,1.6240617270623166,13.545672416687012
3,4642213.93309735,3599358.129438422,0.0,0.0,False,False,,0.0,8.401139157592933,13.536701363626062,3.354069865733108,0.03165566836840403,0.10743028865218722,0.09379669612635533,0.03639963078466266,0.0008046155877939287,4.059874534606934,5.849467039108276,0.0035571492352752315,0.0996945834829456,0.0,0.0,0.0017743753571895118,0.004365166377721984,1.1345073603150295,12.859696388244629
4,2033243.076618546,2033243.076618546,1566115.0528198762,0.43510953800649566,True,False,,0.0,7.780435340045019,12.121192420078764,3.163174128835718,0.07404475732261932,0.10258474457852229,0.08827710695999329,0.01032302879941907,0.0014969853465985634,3.7578020095825195,5.798263788223267,0.001702680732255507,0.08849320235651036,0.0,0.0,0.00516030707810501,0.008190575174444811,1.400266278204238,13.058423042297363
5,3360326.17632651,2033243.076618546,0.0,0.0,False,False,,0.0,8.675285363281676,14.268533547394183,3.3148946874513228,0.034577797347755346,0.10763696458901459,0.09248368742893406,0.023585616372013063,0.008588438832183914,4.1989171504974365,6.522382497787476,0.008897546643716003,0.0784360409829045,0.0,0.0,0.0020422431624033607,0.004559963012132114,1.197739092128035,12.741871356964111
6,2083304.8080952594,2033243.076618546,0.0,0.0,False,False,,0.0,6.70676339546512,6.061831507101827,2.848980213035769,0.08333654120117753,0.08926842946455371,0.08000695996705169,0.010824130265224288,0.00016842250193796807,3.2333712577819824,2.759788990020752,0.0002094027598216404,0.12679986550660702,0.0,0.0,0.005315484467016239,0.010203166366261908,1.732543663539561,12.741057395935059
7,5384489.610433387,2033243.076618546,0.0,0.0,False,False,,0.0,8.534422245814932,15.359145824110747,3.430823354801167,0.03515235303452449,0.10995407138503258,0.09591288275007849,0.043817460189520235,0.006390961803063339,4.123341798782349,6.544463872909546,0.01586901376312898,0.10303217362074159,0.0,0.0,0.0021081863540465045,0.004571715550538115,1.4675664037643552,12.776254892349243
8,2724584.697611346,2033243.076618546,0.0,0.0,False,False,,0.0,6.186794532795725,6.023103839007011,2.7059195286967728,0.15979135752381862,0.0841135209951018,0.0760899429387443,0.01723390232782554,0.00016722564393053906,2.979262351989746,2.580212354660034,0.0001968026591330696,0.13877602349526028,0.0,0.0,0.009281304918663809,0.021385229543627038,1.5753462416581745,12.756223678588867
9,2873232.218422024,2033243.076618546,0.0,0.0,False,False,,0.0,6.225006706317089,7.5689826741666115,2.7563618890445047,0.14591722167937043,0.08591232657324871,0.07747574872434868,0.01871954271881461,0.0002796085543692549,2.9962897300720215,3.3144900798797607,0.0008050756932720687,0.14378832335837524,0.0,0.0,0.008324651195011367,0.01983000302981987,1.2691778083206164,12.746026992797852
