trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
0,1559801.463318219,1559801.463318219,0.0,0.0,True,False,,0.0,4.569432353074562,1.201874068721498,0.14730803296620334,5.848476415719397e-14,0.005340517475952358,0.00389372477770249,0.00559499365775247,3.687576570776601e-16,2.2788755893707275,0.4610621929168701,2.6810021864245735e-14,0.3638351305852994,0.0,0.0,3.3450429397049446e-15,7.931105159888604e-15,0.0,13.134859323501587
1,1544190.6993131135,1544190.6993131135,15610.764005105477,0.010008173714554777,True,False,,0.0,4.5684173798860135,1.0031042207704173,0.1281373533395561,2.2220097935308064e-14,0.004282520022041608,0.0034212501943450754,0.005438995578013334,1.9156691834080666e-13,2.2790768146514893,0.36557722091674805,7.250929536598183e-12,0.3550884450766327,0.0,0.0,1.413853858521077e-15,2.7273167667848618e-15,1.177939238503707,13.132209539413452
2,1517726.1388294115,1517726.1388294115,26464.560483701993,0.017138142650045717,True,False,,0.0,4.526301025579522,1.1908967259501408,0.12190224462992229,3.2054066704630414e-14,0.0059066330712662755,0.0028772748941015072,0.005174459936777717,5.253168793881098e-12,2.2588346004486084,0.46608686447143555,3.367678331454188e-11,0.3873408862181563,0.0,0.0,2.1395171100595624e-15,3.734482456038478e-15,1.6240617270623166,13.368917465209961
3,1596658.3438709418,1517726.1388294115,0.0,0.0,False,False,,0.0,4.562738856906715,1.6967161417449272,0.15699143224492512,1.8431425402294972e-14,0.0044575727420365484,0.003767636496167232,0.005963337810111241,0.00029166747512759554,2.2757179737091064,0.6986243724822998,0.000260101254953096,0.34929122829047154,0.0,0.0,1.1242305058041055e-15,2.3593953389655317e-15,1.1345073603150295,13.361481189727783
4,2069405.9841024417,1517726.1388294115,0.0,0.0,False,False,,0.0,4.5566816863272805,1.8130170701244879,0.2859634570109828,2.7600279943055808e-14,0.01213614596640959,0.006708957647423458,0.010688298372457258,6.84683749891386e-10,2.268277406692505,0.639301061630249,5.648225343705753e-09,0.5823934627677537,0.0,0.0,1.788405320459886e-15,3.3232593448441795e-15,1.400266278204238,13.321861982345581
5,1906096.3894383989,1517726.1388294115,0.0,0.0,False,False,,0.0,4.537364734628738,1.2479086698172295,0.15605258014758555,1.9049794598139658e-14,0.005586383868134941,0.0029874687125089746,0.009056226365643252,1.0428129648174017e-11,2.2642011642456055,0.3975486755371094,9.216965823788944e-11,0.5736745459350311,0.0,0.0,1.0919032009619077e-15,2.5786422476110992e-15,1.197739092128035,13.021368026733398
6,1781944.5225065611,1517726.1388294115,0.0,0.0,False,False,,0.0,4.584585609795673,2.1102660114381817,0.21542492052933446,1.6012618960664493e-14,0.0073893966574637305,0.005113900622402207,0.007815148217651668,0.0004825507742318402,2.2846219539642334,0.8587875366210938,0.000386705462682187,0.35033674433065004,0.0,0.0,8.908963632539161e-16,2.221362013658291e-15,1.732543663539561,13.321117162704468
7,1531880.7234976694,1517726.1388294115,0.0,0.0,False,False,,0.0,4.558212648720979,0.9821804005153599,0.11267005159907899,1.055279557484512e-14,0.004984722756162906,0.0026956832711695074,0.005315957940031618,2.2299562193044917e-14,2.2750627994537354,0.35819125175476074,8.515191547518376e-13,0.36009187836325085,0.0,0.0,6.169327531402998e-16,1.4043333874306805e-15,1.4675664037643552,13.126386404037476
8,1477184.1936930867,1477184.1936930867,40541.945136324735,0.026712292882821297,True,False,,0.0,4.661115374335956,1.644853045245588,0.22958122400118292,1.549605653018848e-14,0.006753961792208335,0.006412892265224247,0.004769152177707153,6.523459541136322e-12,2.3209383487701416,0.703197717666626,2.0539572040138765e-10,0.3311376051931427,0.0,0.0,8.955255519494262e-16,2.082963028648268e-15,1.5753462416581745,12.938482522964478
9,1603357.7112877297,1477184.1936930867,0.0,0.0,False,False,,0.0,4.565263887243057,1.7816968864898477,0.21182281815821127,1.6060758015495414e-14,0.009007771937802818,0.005201545025436332,0.00603023628471841,1.5385560362954196e-09,2.274829626083374,0.7400925159454346,8.072611583137297e-09,0.35745071291516417,0.0,0.0,8.278970824541608e-16,2.3593953389655317e-15,1.2691778083206164,12.917015790939331
